event_id,corpus,n_articles,n_stories,dup_removed
PFC-2023-CA-8FC7270E,Ped,1,1,0
PFC-2023-NV-CD286F14,Ped,1,1,0
PFC-2023-CA-3C4C7F8C,Ped,1,1,0
PFC-2023-CA-8EDEBC89,Ped,1,1,0
PFC-2023-CA-690D4FCD,Ped,1,1,0
PFC-2023-CA-F6A5FA29,Ped,1,1,0
PFC-2023-NV-4A18E62F,Ped,1,1,0
PFC-2023-AZ-022CAC95,Ped,2,2,0
PFC-2023-AZ-4CB9E447,Ped,2,2,0
PFC-2023-AZ-D8AB91E4,Ped,1,1,0
PFC-2023-CA-5331211F,Ped,1,1,0
PFC-2023-AZ-215F341D,Ped,1,1,0
PFC-2023-CA-C180E259,Ped,1,1,0
PFC-2023-CA-054A7EAA,Ped,1,1,0
PFC-2023-AZ-2E813CDB,Ped,3,3,0
PFC-2023-CA-2C3D69BB,Ped,3,3,0
PFC-2023-CA-D3D63EA7,Ped,12,2,10
PFC-2023-CA-6AB2D217,Ped,1,1,0
PFC-2023-AZ-EFB03476,Ped,1,1,0
PFC-2023-AZ-1B12319A,Ped,1,1,0
PFC-2023-CA-2DA55672,Ped,4,1,3
PFC-2023-AZ-66FFA72E,Ped,3,3,0
PFC-2023-AZ-C5223858,Ped,4,4,0
PFC-2023-TX-4466A62B,Ped,1,1,0
PFC-2023-CA-4A33B0BC,Ped,2,2,0
PFC-2023-CA-17A284C2,Ped,1,1,0
PFC-2023-AZ-8B8C456E,Ped,2,2,0
PFC-2023-CA-F72BA736,Ped,1,1,0
PFC-2023-TX-10A42052,Ped,1,1,0
PFC-2023-CA-FAC4B3D2,Ped,1,1,0
PFC-2023-AZ-163AC9C3,Ped,1,1,0
PFC-2023-CA-9DDDE3D5,Ped,1,1,0
PFC-2023-CA-8AEBF5A5,Ped,2,2,0
PFC-2023-CA-4DA5B391,Ped,1,1,0
PFC-2023-AZ-85982523,Ped,3,3,0
PFC-2023-CA-D1494688,Ped,1,1,0
PFC-2023-CA-EC831E1C,Ped,1,1,0
PFC-2023-NV-3C8B926D,Ped,1,1,0
PFC-2023-AZ-6A9B92C8,Ped,2,2,0
PFC-2023-AZ-EEF94346,Ped,1,1,0
PFC-2023-TX-34746093,Ped,1,1,0
PFC-2023-AZ-F8E3FEFF,Ped,2,2,0
PFC-2023-TX-107440B8,Ped,1,1,0
PFC-2023-CA-C0BCE337,Ped,1,1,0
PFC-2023-TX-C70D9C0A,Ped,1,1,0
PFC-2023-AZ-5F046A9C,Ped,1,1,0
PFC-2023-AZ-58F90AE0,Ped,1,1,0
PFC-2023-AZ-49A54F72,Ped,1,1,0
PFC-2023-CA-3AFA03B2,Ped,1,1,0
PFC-2023-CA-4D3E32FE,Ped,1,1,0
PFC-2023-AZ-AD9F030A,Ped,2,2,0
PFC-2023-CA-4754A6BD,Ped,1,1,0
PFC-2023-AZ-F430953E,Ped,1,1,0
PFC-2023-CA-0B704C8B,Ped,1,1,0
PFC-2023-CA-FE804BFE,Ped,1,1,0
PFC-2023-AZ-C70B853C,Ped,1,1,0
PFC-2023-TX-9DBE0F6C,Ped,1,1,0
PFC-2023-CA-4896F872,Ped,1,1,0
PFC-2023-CA-51C231A5,Ped,4,4,0
PFC-2023-TX-8E7A97B7,Ped,1,1,0
PFC-2023-AZ-CC67554D,Ped,1,1,0
PFC-2023-NV-5D2A686D,Ped,1,1,0
PFC-2023-CA-FD028330,Ped,2,2,0
PFC-2023-AZ-71FB67FF,Ped,1,1,0
PFC-2023-CA-06B104D6,Ped,1,1,0
PFC-2023-CA-00EA695A,Ped,1,1,0
PFC-2023-CA-B30C6C6F,Ped,1,1,0
PFC-2023-CA-010E6600,Ped,1,1,0
PFC-2023-AZ-ED5C4FA0,Ped,1,1,0
PFC-2023-AZ-A5A290C9,Ped,1,1,0
PFC-2023-CA-DC10E19F,Ped,1,1,0
PFC-2023-AZ-FFB753C7,Ped,2,2,0
PFC-2023-AZ-C41AEF0A,Ped,1,1,0
PFC-2023-CA-F4B8132B,Ped,2,2,0
PFC-2023-AZ-D92F8CD5,Ped,1,1,0
PFC-2023-AZ-63637266,Ped,1,1,0
PFC-2023-AZ-9501A820,Ped,1,1,0
PFC-2023-CA-71898AD8,Ped,2,2,0
PFC-2023-CA-FA0BA55F,Ped,1,1,0
PFC-2023-AZ-A73C6F85,Ped,1,1,0
PFC-2023-CA-DBF0D932,Ped,1,1,0
PFC-2023-NV-E11824B9,Ped,1,1,0
PFC-2023-NV-966CFBFB,Ped,1,1,0
PFC-2023-CA-D1C0491B,Ped,1,1,0
PFC-2023-NV-4ED17D77,Ped,1,1,0
PFC-2023-CA-9D935853,Ped,1,1,0
PFC-2023-NV-DEB30738,Ped,2,2,0
PFC-2023-CA-7C2D99F0,Ped,1,1,0
